batch,exp,rep,day,COD,nit,ss,amm,pho,ph,daph
1,bacteria,1,1,120,17,5,1,0,7.78,
1,bacteria,1,2,223,17,20,0,0.9,8.1,
1,bacteria,1,3,92,24,5,0,0,8.15,
1,bacteria,1,4,78,20,5,0,0,8.24,
1,bacteria,1,5,78,24,5,0,0,8.24,
1,bacteria,1,6,78,16,5,0,0,8.24,
1,bacteria,1,7,78,23,5,0,0,8.24,
1,bacteria,2,1,142,18,6,2,0,7.9,
1,bacteria,2,2,274,23,26,0,6.6,8.04,
1,bacteria,2,3,108,24,1,0,0,8.12,
1,bacteria,2,4,78,29,1,0,0,8.23,
1,bacteria,2,5,78,22,1,0,0,8.23,
1,bacteria,2,6,78,21,1,0,0,8.23,
1,bacteria,2,7,78,19,1,0,0,8.23,
1,bact_algae,1,1,169,16,2,2,0,7.9,
1,bact_algae,1,2,139,20,17,0,3.5,8.1,
1,bact_algae,1,3,93,21,4,0,0,8.11,
1,bact_algae,1,4,76,20,4,0,0,8.23,
1,bact_algae,1,5,76,22,4,0,0,8.23,
1,bact_algae,1,6,76,19,4,0,0,8.23,
1,bact_algae,1,7,76,16,4,0,0,8.23,
1,bact_algae,2,1,211,21,6,2,0,7.95,
1,bact_algae,2,2,220,17,25,0,4.4,8.15,
1,bact_algae,2,3,113,21,7,0,0,8.12,
1,bact_algae,2,4,91,20,7,0,0,8.27,
1,bact_algae,2,5,91,24,7,0,0,8.27,
1,bact_algae,2,6,91,11,7,0,0,8.27,
1,bact_algae,2,7,91,16,7,0,0,8.27,
1,bact_algae,3,1,155,24,5,2,0,7.91,
1,bact_algae,3,2,224,15,15,1,2.7,8.1,
1,bact_algae,3,3,100,17,3,1,0,8.1,
1,bact_algae,3,4,84,17,3,1,0,8.23,
1,bact_algae,3,5,84,21,3,1,0,8.23,
1,bact_algae,3,6,84,25,3,1,0,8.23,
1,bact_algae,3,7,84,15,3,1,0,8.23,
1,bact_algae_Daph,1,1,143,15,6,2,0,7.85,140
1,bact_algae_Daph,1,2,182,16,32,1,4.5,8.16,
1,bact_algae_Daph,1,3,113,20,3,1,0,8.12,
1,bact_algae_Daph,1,4,92,19,3,1,0,8.23,
1,bact_algae_Daph,1,5,92,20,3,1,0,8.23,
1,bact_algae_Daph,1,6,92,26,3,1,0,8.23,
1,bact_algae_Daph,1,7,92,25,3,1,0,8.23,980
1,bact_algae_Daph,2,1,171,18,4,3,0,7.9,140
1,bact_algae_Daph,2,2,290,18,28,0,7.7,8.13,
1,bact_algae_Daph,2,3,118,18,3,0,0,8.15,
1,bact_algae_Daph,2,4,108,19,3,0,0,8.21,
1,bact_algae_Daph,2,5,108,22,3,0,0,8.21,
1,bact_algae_Daph,2,6,108,24,3,0,0,8.21,
1,bact_algae_Daph,2,7,108,23,3,0,0,8.21,1940
1,bact_algae_Daph,3,1,152,22,5,2,0,7.92,140
1,bact_algae_Daph,3,2,289,14,25,0,5.8,8.15,
1,bact_algae_Daph,3,3,136,14,3,0,0,8.1,
1,bact_algae_Daph,3,4,83,19,3,0,0,8.19,
1,bact_algae_Daph,3,5,83,20,3,0,0,8.19,
1,bact_algae_Daph,3,6,83,14,3,0,0,8.19,
1,bact_algae_Daph,3,7,83,22,3,0,0,8.19,1060
1,bact_Daph,1,1,169,29,6,2,0,7.93,140
1,bact_Daph,1,2,389,22,33,0,8.1,8.17,
1,bact_Daph,1,3,116,20,3,0,0,8.09,
1,bact_Daph,1,4,68,18,3,0,0,8.2,
1,bact_Daph,1,5,68,18,3,0,0,8.2,
1,bact_Daph,1,6,68,19,3,0,0,8.2,
1,bact_Daph,1,7,68,18,3,0,0,8.2,500
1,bact_Daph,2,1,127,18,9,2,0,7.97,140
1,bact_Daph,2,2,255,22,31,0,6.5,8.2,
1,bact_Daph,2,3,141,18,3,0,0,8.08,
1,bact_Daph,2,4,115,19,3,0,0,8.29,
1,bact_Daph,2,5,115,18,3,0,0,8.29,
1,bact_Daph,2,6,115,13,3,0,0,8.29,
1,bact_Daph,2,7,115,17,3,0,0,8.29,580
1,bact_Daph,3,1,157,17,6,2,0,7.97,140
1,bact_Daph,3,2,205,20,11,0,1.4,8.19,
1,bact_Daph,3,3,125,17,4,0,0,8.06,
1,bact_Daph,3,4,87,19,4,0,0,8.23,
1,bact_Daph,3,5,87,19,4,0,0,8.23,
1,bact_Daph,3,6,87,19,4,0,0,8.23,
1,bact_Daph,3,7,87,16,4,0,0,8.23,60
2,bacteria,1,1,76,33,9,0,0,8.16,
2,bacteria,1,2,76,20,2,0,0,8.15,
2,bacteria,1,3,70,30,1,0,0,8.2,
2,bacteria,1,4,84,22,7,0,0,8.16,
2,bacteria,1,5,80,21,6,0,0,8.15,
2,bacteria,1,6,93,16,7,0,0,7.91,
2,bacteria,1,7,72,16,9,0,0,8.26,
2,bacteria,1,8,62,20,10,0,0,8.26,
2,bacteria,1,9,66,25,3,0,0,8.15,
2,bacteria,2,2,86,16,2,0,0,8.18,
2,bacteria,2,3,82,25,3,0,0,8.22,
2,bacteria,2,4,70,25,5,0,0,8.24,
2,bacteria,2,5,95,18,8,0,0,8.23,
2,bacteria,2,6,79,16,9,0,0,8.02,
2,bacteria,2,7,86,21,5,0,0,8.29,
2,bacteria,2,8,66,26,3,0,0,8.3,
2,bacteria,2,9,75,21,4,0,0,8.21,
2,bact_algae,1,1,80,24,10,0,0,8.22,
2,bact_algae,1,2,96,20,5,0,0,8.21,
2,bact_algae,1,3,88,21,8,0,0,8.25,
2,bact_algae,1,4,76,22,8,0,0,8.22,
2,bact_algae,1,5,89,14,10,0,0,8.21,
2,bact_algae,1,6,82,24,10,0,0,8,
2,bact_algae,1,7,94,23,5,0,0,8.28,
2,bact_algae,1,8,79,25,5,0,0,8.29,
2,bact_algae,1,9,66,20,5,0,0,8.19,
2,bact_algae,2,1,143,21,14,0,0,8.26,
2,bact_algae,2,2,87,14,5,0,0,8.24,
2,bact_algae,2,3,75,19,4,0,0,8.3,
2,bact_algae,2,4,78,25,5,0,0,8.26,
2,bact_algae,2,5,82,20,7,0,0,8.3,
2,bact_algae,2,6,90,24,5,0,0,8.06,
2,bact_algae,2,7,84,17,2,0,0,8.3,
2,bact_algae,2,8,78,23,4,0,0,8.32,
2,bact_algae,2,9,85,23,2,0,0,8.23,
2,bact_algae_Daph,1,1,82,23,8,0,0,8.23,100
2,bact_algae_Daph,1,2,90,19,4,0,0,8.23,
2,bact_algae_Daph,1,3,76,19,6,0,0,8.21,
2,bact_algae_Daph,1,4,80,21,9,0,0,8.2,
2,bact_algae_Daph,1,5,60,25,9,0,0,8.23,
2,bact_algae_Daph,1,6,80,16,9,0,0,7.9,
2,bact_algae_Daph,1,7,71,20,7,0,0,8.27,
2,bact_algae_Daph,1,8,72,24,6,0,0,8.27,
2,bact_algae_Daph,1,9,71,25,2,0,0,8.19,1200
2,bact_algae_Daph,2,1,153,16,15,0,0,8.16,186
2,bact_algae_Daph,2,2,96,12,5,0,0,8.18,
2,bact_algae_Daph,2,3,81,15,3,0,0,8.25,
2,bact_algae_Daph,2,4,76,18,6,0,0,8.11,
2,bact_algae_Daph,2,5,79,22,9,0,0,8.21,
2,bact_algae_Daph,2,6,83,29,9,0,0,7.88,
2,bact_algae_Daph,2,7,70,22,7,0,0,8.22,
2,bact_algae_Daph,2,8,103,25,7,0,0,8.25,
2,bact_algae_Daph,2,9,86,23,4,0,0,8.17,1160
2,bact_Daph,1,1,128,16,9,0,0,8.16,186
2,bact_Daph,1,2,72,22,4,0,0,8.25,
2,bact_Daph,1,3,89,25,3,0,0,8.28,
2,bact_Daph,1,4,77,27,8,0,0,8.24,
2,bact_Daph,1,5,67,20,6,0,0,8.27,
2,bact_Daph,1,6,76,23,7,0,0,7.95,
2,bact_Daph,1,7,63,17,9,0,0,8.32,
2,bact_Daph,1,8,79,23,8,0,0,8.34,
2,bact_Daph,1,9,77,22,2,0,0,8.26,260
2,bact_Daph,2,1,65,26,6,0,0,8.23,186
2,bact_Daph,2,2,86,16,4,0,0,8.22,
2,bact_Daph,2,3,82,24,4,0,0,8.23,
2,bact_Daph,2,4,93,28,4,0,0,8.21,
2,bact_Daph,2,5,68,24,5,0,0,8.24,
2,bact_Daph,2,6,76,25,7,0,0,7.99,
2,bact_Daph,2,7,63,22,6,0,0,8.18,
2,bact_Daph,2,8,79,23,4,0,0,8.29,
2,bact_Daph,2,9,77,21,4,0,0,8.23,260
pH,bacteria,1,1,79,24,12,0,0,8.25,
pH,bacteria,1,2,73,20,4,0,0,7.76,
pH,bacteria,1,3,82,18,8,0,0,7.8,
pH,bacteria,1,4,119,23,5,0,0,6.71,
pH,bacteria,1,5,78,19,4,0,0,6.26,
pH,bacteria,1,6,123,21,2,0,0,6.52,
pH,bacteria,1,7,100,18,9,0,0,6.27,
pH,bacteria,1,8,70,22,3,0,0,6.15,
pH,bact_algae,1,1,72,17,5,0,0,8.2,
pH,bact_algae,1,2,79,24,6,0,0,7.83,
pH,bact_algae,1,3,101,22,8,0,0,7.42,
pH,bact_algae,1,4,130,20,10,0,0,6.57,
pH,bact_algae,1,5,102,17,10,0,0,6.5,
pH,bact_algae,1,6,116,23,10,0,0,6.74,
pH,bact_algae,1,7,136,23,4,0,0,6.43,
pH,bact_algae,1,8,85,20,3,0,0,6.46,
pH,bact_algae_Daph,1,1,82,12,10,0,0,8.23,186
pH,bact_algae_Daph,1,2,95,25,3,0,0,7.8,
pH,bact_algae_Daph,1,3,81,22,6,0,0,6.94,
pH,bact_algae_Daph,1,4,86,23,7,0,0,6.97,
pH,bact_algae_Daph,1,5,127,22,6,0,0,6.38,
pH,bact_algae_Daph,1,6,86,23,6,0,0,6.53,
pH,bact_algae_Daph,1,7,100,19,7,0,0,6.48,
pH,bact_algae_Daph,1,8,84,22,5,0,0,6.32,1320
pH,bact_Daph,1,1,88,19,8,0,0,8.23,186
pH,bact_Daph,1,2,87,25,6,0,0,7.79,
pH,bact_Daph,1,3,142,17,5,0,0,7.26,
pH,bact_Daph,1,4,89,13,13,0,0,6.72,
pH,bact_Daph,1,5,102,25,6,0,0,6.42,
pH,bact_Daph,1,6,93,20,7,0,0,6.51,
pH,bact_Daph,1,7,139,20,6,0,0,6.29,
pH,bact_Daph,1,8,75,22,1,0,0,6.14,180
muiden,bact_Daph,1,1,1436,0,150,0,6,7.07,
muiden,bact_Daph,1,2,110,10,14,29,0,8.2,
muiden,bact_Daph,1,3,106,9,10,30,0,8.53,
muiden,bact_Daph,1,4,127,22,5,21,0,8.19,
muiden,bact_Daph,1,5,149,31,4,13,0,8.17,
muiden,bact_Daph,1,6,144,66,2,0,0,8.22,
muiden,bact_Daph,1,7,112,34,3,0,0,8.36,
muiden,bact_Daph,1,8,102,30,2,0,0,8.33,
muiden,bact_Daph,1,9,80,36,1,0,0,8.3,
muiden,bact_Daph,2,1,1436,0,150,26,6,7.07,
muiden,bact_Daph,2,2,88,10,13,33,0,8.42,
muiden,bact_Daph,2,3,100,10,35,31,0,8.53,
muiden,bact_Daph,2,4,121,25,6,25,0,8.27,
muiden,bact_Daph,2,5,148,30,4,16,0,8.41,
muiden,bact_Daph,2,6,143,50,3,3,0,8.11,
muiden,bact_Daph,2,7,101,35,1,0,0,8.3,
muiden,bact_Daph,2,8,107,34,1,0,0,8.26,
muiden,bact_Daph,2,9,76,35,1,0,0,8.4,
muiden,bact_Daph,3,1,1436,0,150,26,6,7.07,
muiden,bact_Daph,3,2,131,7,11,29,0,8.26,
muiden,bact_Daph,3,3,95,19,15,30,0,8.58,
muiden,bact_Daph,3,4,108,27,5,20,0,8.18,
